trainer_id,t_name,specialization,phone,hire_date
1,Rahul Nair,Crossfit,8827329446,2020-06-13
2,Vikram Singh,Strength,8854602363,2023-11-09
3,Ajay Iyer,Bodybuilding,8729139870,2020-06-05
4,Priya Singh,Crossfit,8645344195,2023-11-15
5,Priya Nair,Yoga,8909891480,2023-01-01
6,Anu Das,Cardio,8990912397,2023-11-23
7,Riya Mehta,Yoga,8784849998,2021-11-27
8,Divya Iyer,Cardio,8907691251,2020-03-22
9,Vikram Sharma,Crossfit,8550584352,2022-06-21
10,Karthik Mehta,Bodybuilding,8447511416,2023-11-14
11,Anu Singh,Cardio,8293285708,2021-07-22
12,Priya Singh,Yoga,8254563900,2020-08-31
13,Divya Singh,Yoga,8372866671,2020-09-28
14,Vikram Kumar,Yoga,8616365984,2021-11-18
15,Divya Das,Strength,8756264091,2022-01-19
16,Sneha Mehta,Strength,8656736099,2021-10-12
17,Arun Singh,Bodybuilding,8183396390,2020-05-31
18,Arun Sharma,Yoga,8314650296,2020-11-12
19,Rahul Mehta,Cardio,8633237526,2023-01-02
20,Arun Nair,Crossfit,8273448445,2024-01-31
21,Anu Nair,Strength,8831841633,2022-04-29
22,Karthik Patel,Bodybuilding,8979969005,2020-11-15
23,Anu Kumar,Crossfit,8969856142,2023-06-02
24,Arun Das,Strength,8138023767,2020-10-13
25,Priya Patel,Cardio,8368508505,2020-09-13
26,Priya Patel,Strength,8252324371,2023-10-07
27,Arun Singh,Bodybuilding,8646377847,2021-08-15
28,Sneha Singh,Cardio,8439188957,2020-01-17
29,Divya Sharma,Strength,8218536942,2023-01-05
30,Karthik Iyer,Yoga,8877326213,2022-09-16
31,Ajay Singh,Cardio,8825869783,2022-07-28
32,Divya Patel,Crossfit,8879531400,2021-01-31
33,Rahul Nair,Cardio,8845598842,2020-07-06
34,Priya Patel,Yoga,8903664977,2020-06-08
35,Karthik Das,Crossfit,8453648661,2021-04-09
36,Karthik Verma,Strength,8284519856,2021-10-31
37,Riya Patel,Bodybuilding,8550078966,2021-11-21
38,Vikram Patel,Yoga,8154477679,2023-12-05
39,Ajay Sharma,Cardio,8792074720,2021-12-30
40,Anu Reddy,Yoga,8192845842,2023-02-19
41,Sneha Patel,Crossfit,8635354212,2023-03-21
42,Riya Das,Yoga,8384383295,2021-04-13
43,Arun Reddy,Bodybuilding,8260773021,2021-08-03
44,Rahul Reddy,Crossfit,8870941878,2020-05-18
45,Karthik Iyer,Cardio,8594892252,2020-12-02
46,Vikram Mehta,Yoga,8426376349,2023-08-02
47,Karthik Patel,Cardio,8388994234,2023-03-02
48,Priya Patel,Cardio,8710455182,2020-09-08
49,Divya Singh,Bodybuilding,8518282221,2022-05-18
50,Sneha Singh,Cardio,8462883405,2022-10-09
